Date,Plant Code,Predictor 2,Uncertainty
01/01/2004,YUSL21A,-1.29,0
01/01/2005,YUSL21A,-1.315,0
01/01/2006,YUSL21A,-1.13,0
01/01/2007,YUSL21A,-0.93,0
01/01/2008,YUSL21A,-1.07,0
01/01/2009,YUSL21A,-1.23,0
01/01/2010,YUSL21A,-1.73,0
01/01/2011,YUSL21A,-1.7,0
01/01/2012,YUSL21A,-1.67,0
01/01/2013,YUSL21A,-1.28,0
01/01/1980,YUSL26A,-0.21,0
01/01/1981,YUSL26A,-0.94,0
01/01/1982,YUSL26A,-0.56,0
01/01/1983,YUSL26A,-1.05,0
01/01/1984,YUSL26A,-0.36,0
01/01/1985,YUSL26A,-1.23,0
01/01/1986,YUSL26A,-0.21,0
01/01/1987,YUSL26A,0.09,0
01/01/1988,YUSL26A,-0.275,0
01/01/1989,YUSL26A,-0.3025,0
01/01/1990,YUSL26A,-0.33,0
01/01/1991,YUSL26A,-0.5,0
01/01/1992,YUSL26A,-1.095,0
01/01/1993,YUSL26A,-2.11,0
01/01/1994,YUSL26A,-2.2,0
01/01/1995,YUSL26A,-1.73,0
01/01/1996,YUSL26A,-1.615,0
01/01/1997,YUSL26A,-1.87,0
01/01/1998,YUSL26A,-3.24,0
01/01/1999,YUSL26A,-2.73,0
01/01/2000,YUSL26A,-2.655,0
01/01/2001,YUSL26A,-2.8,0
01/01/2002,YUSL26A,-2.49,0
01/01/2003,YUSL26A,-2.02,0
01/01/2004,YUSL26A,-2.58,0
01/01/2005,YUSL26A,-2.31,0
01/01/2006,YUSL26A,-2.08,0
01/01/2007,YUSL26A,-2.78,0
01/01/2008,YUSL26A,-1.995,0
01/01/2009,YUSL26A,-2.55,0
01/01/2010,YUSL26A,-1.84,0
01/01/2011,YUSL26A,-2.81,0
01/01/2012,YUSL26A,-2.26,0
01/01/2013,YUSL26A,-1.8,0
01/01/1988,YUSL29A,-0.99,0
01/01/1989,YUSL29A,-0.25,0
01/01/1990,YUSL29A,-1.74,0
01/01/1991,YUSL29A,-1.64,0
01/01/1992,YUSL29A,-1.47,0
01/01/1993,YUSL29A,-0.77,0
01/01/1994,YUSL29A,-1.48,0
01/01/1995,YUSL29A,-0.84,0
01/01/1996,YUSL29A,-1.555,0
01/01/1997,YUSL29A,-2.24,0
01/01/1998,YUSL29A,-1.11,0
01/01/1999,YUSL29A,-1.12,0
01/01/2000,YUSL29A,-1.95,0
01/01/2001,YUSL29A,-1.14,0
01/01/2002,YUSL29A,-2.08,0
01/01/2003,YUSL29A,-2.25,0
01/01/2004,YUSL29A,-1.98,0
01/01/2005,YUSL29A,-1.9,0
01/01/2006,YUSL29A,-2.47,0
01/01/2007,YUSL29A,-2.53,0
01/01/2008,YUSL29A,-1.74,0
01/01/2009,YUSL29A,-1.75,0
01/01/2010,YUSL29A,-1.63,0
01/01/2011,YUSL29A,-2.28,0
01/01/2012,YUSL29A,-1.682222222,0
01/01/2013,YUSL29A,-1.5,0
01/01/1981,YUSL03A,0.92,0
01/01/1982,YUSL03A,0.71,0
01/01/1983,YUSL03A,1.435,0
01/01/1984,YUSL03A,0.81,0
01/01/1985,YUSL03A,1.95,0
01/01/1986,YUSL03A,1.76,0
01/01/1987,YUSL03A,1.87,0
01/01/1988,YUSL03A,1.115,0
01/01/1989,YUSL03A,1.52,0
01/01/1990,YUSL03A,1.48,0
01/01/1991,YUSL03A,0.71,0
01/01/1992,YUSL03A,0.72,0
01/01/1993,YUSL03A,0.91,0
01/01/1994,YUSL03A,0.33,0
01/01/1995,YUSL03A,-0.11,0
01/01/1996,YUSL03A,0.84,0
01/01/1997,YUSL03A,0.775,0
01/01/1998,YUSL03A,0.71,0
01/01/1999,YUSL03A,0.29,0
01/01/2000,YUSL03A,0.12,0
01/01/2001,YUSL03A,0.26,0
01/01/2002,YUSL03A,0.48,0
01/01/2003,YUSL03A,0.36,0
01/01/2004,YUSL03A,0.185,0
01/01/2005,YUSL03A,0.28,0
01/01/2006,YUSL03A,0.3,0
01/01/2007,YUSL03A,0.25,0
01/01/2008,YUSL03A,0.74,0
01/01/2009,YUSL03A,0,0
01/01/2010,YUSL03A,0.16,0
01/01/2011,YUSL03A,0.22,0
01/01/2012,YUSL03A,0.32,0
01/01/2013,YUSL03A,0.88,0
01/01/1981,YUSL30AB,-1.87,0
01/01/1982,YUSL30AB,-1.59,0
01/01/1983,YUSL30AB,-2.64,0
01/01/1984,YUSL30AB,-2.34,0
01/01/1985,YUSL30AB,-2.34,0
01/01/1986,YUSL30AB,-1.37,0
01/01/1987,YUSL30AB,-1.845,0
01/01/1988,YUSL30AB,-2.85,0
01/01/1989,YUSL30AB,-2.8,0
01/01/1990,YUSL30AB,-1.54,0
01/01/1991,YUSL30AB,-2.35,0
01/01/1992,YUSL30AB,-2.03,0
01/01/1993,YUSL30AB,-1.85,0
01/01/1994,YUSL30AB,-0.56,0
01/01/1995,YUSL30AB,-1.86,0
01/01/1996,YUSL30AB,-1.98,0
01/01/1997,YUSL30AB,-1.86,0
01/01/1998,YUSL30AB,-1.74,0
01/01/1999,YUSL30AB,-1.08,0
01/01/2000,YUSL30AB,-1.4,0
01/01/2001,YUSL30AB,-1.77,0
01/01/2002,YUSL30AB,-1.38,0
01/01/2003,YUSL30AB,-1.775,0
01/01/2004,YUSL30AB,-1.59,0
01/01/2005,YUSL30AB,-1.64,0
01/01/2006,YUSL30AB,-1.29,0
01/01/2007,YUSL30AB,-1.62,0
01/01/2008,YUSL30AB,-1.415,0
01/01/2009,YUSL30AB,-2.1,0
01/01/1981,YUSL34A,-1.435,0
01/01/1982,YUSL34A,-1.44,0
01/01/1983,YUSL34A,-1.11,0
01/01/1984,YUSL34A,-1.02,0
01/01/1985,YUSL34A,-1.83,0
01/01/1986,YUSL34A,-1.73,0
01/01/1987,YUSL34A,-2.05,0
01/01/1988,YUSL34A,-2.3,0
01/01/1989,YUSL34A,-2.125,0
01/01/1990,YUSL34A,-0.2,0
01/01/1991,YUSL34A,-2.44,0
01/01/1992,YUSL34A,-1.74,0
01/01/1993,YUSL34A,-1.95,0
01/01/1994,YUSL34A,-2.43,0
01/01/1995,YUSL34A,-1.91,0
01/01/1996,YUSL34A,-1.255,0
01/01/1997,YUSL34A,-1.7525,0
01/01/1998,YUSL34A,-2.25,0
01/01/1999,YUSL34A,-2.18,0
01/01/2000,YUSL34A,-1.61,0
01/01/2001,YUSL34A,-2.475,0
01/01/2002,YUSL34A,-2.16,0
01/01/2003,YUSL34A,-1.4,0
01/01/2004,YUSL34A,-2.59,0
01/01/2005,YUSL34A,-1.705,0
01/01/2006,YUSL34A,-2.1,0
01/01/2007,YUSL34A,-2.82,0
01/01/2008,YUSL34A,-2.54,0
01/01/2009,YUSL34A,-2.72,0
01/01/2010,YUSL34A,-2.71,0
01/01/2011,YUSL34A,-2.685,0
01/01/2012,YUSL34A,-2.66,0
01/01/2013,YUSL34A,-2.59,0
01/01/1980,YUSL39A,-1.97,0
01/01/1981,YUSL39A,-2.33,0
01/01/1982,YUSL39A,-2.33,0
01/01/1983,YUSL39A,-2.3,0
01/01/1984,YUSL39A,-2.4,0
01/01/1985,YUSL39A,-1.87,0
01/01/1986,YUSL39A,-2.81,0
01/01/1987,YUSL39A,-3.05,0
01/01/1988,YUSL39A,-2.725,0
01/01/1989,YUSL39A,-2.13,0
01/01/1990,YUSL39A,-2.49,0
01/01/1991,YUSL39A,-2.76,0
01/01/1992,YUSL39A,-1.435,0
01/01/1993,YUSL39A,-3.96,0
01/01/1994,YUSL39A,-2.97,0
01/01/1995,YUSL39A,-2.82,0
01/01/1996,YUSL39A,-2.755,0
01/01/1997,YUSL39A,-2.52,0
01/01/1998,YUSL39A,-2.95,0
01/01/1999,YUSL39A,-2.98,0
01/01/2000,YUSL39A,-2.585,0
01/01/2001,YUSL39A,-3.38,0
01/01/2002,YUSL39A,-2.25,0
01/01/2003,YUSL39A,-4.39,0
01/01/2004,YUSL39A,-3.18,0
01/01/2005,YUSL39A,-3.56,0
01/01/2006,YUSL39A,-2.95,0
01/01/2007,YUSL39A,-3,0
01/01/2008,YUSL39A,-3.515,0
01/01/2009,YUSL39A,-3.88,0
01/01/2010,YUSL39A,-1.64,0
01/01/2011,YUSL39A,-3.32,0
01/01/2012,YUSL39A,-3.62,0
01/01/2013,YUSL39A,-3.98,0
01/01/1980,YUSL05A,1.255,0
01/01/1981,YUSL05A,-0.05,0
01/01/1982,YUSL05A,1.42,0
01/01/1983,YUSL05A,0.41,0
01/01/1984,YUSL05A,0.51,0
01/01/1985,YUSL05A,0.485,0
01/01/1986,YUSL05A,0.46,0
01/01/1987,YUSL05A,1.56,0
01/01/1988,YUSL05A,1.7,0
01/01/1989,YUSL05A,1.09,0
01/01/1990,YUSL05A,0.93,0
01/01/1991,YUSL05A,1.05,0
01/01/1992,YUSL05A,0.28,0
01/01/1993,YUSL05A,-0.32,0
01/01/1994,YUSL05A,-0.35,0
01/01/1995,YUSL05A,-0.02,0
01/01/1996,YUSL05A,0.275,0
01/01/1997,YUSL05A,-0.75,0
01/01/1998,YUSL05A,0.21,0
01/01/1999,YUSL05A,0.225,0
01/01/2000,YUSL05A,0.225,0
01/01/2001,YUSL05A,0.225,0
01/01/2002,YUSL05A,0.225,0
01/01/2003,YUSL05A,-0.11,0
01/01/2004,YUSL05A,0.205,0
01/01/2005,YUSL05A,-0.5,0
01/01/2006,YUSL05A,0.205,0
01/01/2007,YUSL05A,0.43,0
01/01/2008,YUSL05A,0.445,0
01/01/2009,YUSL05A,0.4,0
01/01/2010,YUSL05A,0.72,0
01/01/2011,YUSL05A,0.64,0
01/01/2012,YUSL05A,0,0
01/01/1981,YUSL09A,0.015,0
01/01/1982,YUSL09A,-0.04,0
01/01/1983,YUSL09A,-0.23,0
01/01/1984,YUSL09A,-0.38,0
01/01/1985,YUSL09A,0.365,0
01/01/1986,YUSL09A,-0.41,0
01/01/1987,YUSL09A,-0.31,0
01/01/1988,YUSL09A,-0.17,0
01/01/1989,YUSL09A,-0.04,0
01/01/1990,YUSL09A,-0.03,0
01/01/1991,YUSL09A,0.43,0
01/01/1992,YUSL09A,0,0
01/01/1993,YUSL09A,-0.235,0
01/01/1994,YUSL09A,-0.31,0
01/01/1995,YUSL09A,-0.03,0
01/01/1996,YUSL09A,0.16,0
01/01/1997,YUSL09A,0.12,0
01/01/1998,YUSL09A,-0.38,0
01/01/1999,YUSL09A,0.25,0
01/01/2000,YUSL09A,0.7,0
01/01/2001,YUSL09A,0.66,0
01/01/2002,YUSL09A,1.37,0
01/01/2003,YUSL09A,0.74,0
01/01/2004,YUSL09A,1.1,0
01/01/2005,YUSL09A,0.67,0
01/01/2006,YUSL09A,0.16,0
01/01/2007,YUSL09A,0.2,0
01/01/2008,YUSL09A,0.78,0
01/01/2009,YUSL09A,0.555,0
01/01/2010,YUSL09A,0.42,0
01/01/2011,YUSL09A,-0.05,0
01/01/2012,YUSL09A,-0.06,0
01/01/2013,YUSL09A,0.375,0
